"PD_id","price"
425,"11490000"
426,"141990000"
428,"13490000"
433,"34990000"
436,"18990000"
439,"11990000"
212,"8670000"
214,"7990000"
215,"12900000"
217,"6690000"
222,"3990000"
223,"5490000"
225,"10490000"
226,"12490000"
228,"6890000"
230,"15900000"
234,"9900000"
238,"7290000"
250,"12490000"
252,"9490000"
258,"12390000"
265,"15890000"
266,"16990000"
269,"10790000"
273,"15490000"
280,"19890000"
283,"9490000"
284,"19890000"
288,"29290000"
304,"20890000"
307,"14690000"
313,"18990000"
320,"12990000"
321,"13900000"
322,"32900000"
327,"34390000"
330,"19700000"
334,"33390000"
336,"111590000"
341,"30990000"
345,"95890000"
353,"25990000"
354,"32990000"
357,"25900000"
359,"44890000"
363,"54890000"
371,"34900000"
376,"16390000"
380,"128990000"
383,"21990000"
392,"128990000"
398,"15400000"
400,"29900000"
402,"23890000"
411,"62890000"
417,"9990000"
421,"7990000"
424,"2499000000"
427,""
432,"24990000"
434,"74990000"
218,"15900000"
220,"5790000"
231,"7990000"
232,"15400000"
235,"14590000"
237,"9290000"
240,"6390000"
248,"13690000"
251,"6790000"
253,"12290000"
256,"17990000"
257,"9290000"
259,"24190000"
272,"5990000"
274,"23490000"
277,"12990000"
285,"14400000"
287,"15590000"
293,"8490000"
